1	1299731	10	用小学生作文的口气来说，对资本主义批判得很厉害
2	1299731	8	看多了西部片，就会发现男主角大多都不是助人为乐行侠仗义的高大形象，相反“事不关己，高高挂起”的居多。这片子有民族色彩在里面，所以不好评价。后半段很沉重，无非还是那句话：仗义每从屠狗辈
3	1299731	10	很早以前在电视上看的此片，也是第一次看到保罗.纽曼的表演，当时就觉得很惊艳，阳光下纽曼的眼睛真是太美了。
4	1299731	8	片子前半段在极力避免英雄主义，最后还是拍了个英雄，不喜欢这种剧情设置，明知不可为而为之，和明知不可为而放任其为之一样让人恼火。除了片子主题，其他都挺像关山飞渡，只是没后者好。
5	1299731	7	Master shot調度上，Paul Newman是幾乎都在（文明世界）邊緣的「孤狼」，但隨著故事發展，時而進入中心。主角決定代替女主角涉險前的master shot，兼過肩POV。採用Panavision才能這麼大膽玩寬銀幕邊角吧。金錢，武力，水，各場景的資源對抗。開場用水誘捕馬，對望。名字，die as John Russell…
6	1292702	6	想下的是Ethan Hawke的那部 结果下错了 这片除了嫩嫩的德普真心没什么看头
7	1292702	10	德普在里面的扮相真实，只是剧情是在蹩脚
8	1292702	10	片子果然有够烂，其实这个题材还是不错的，感觉导演没拍好，如果能剪碎再加点倒叙，像诺兰那种的，这戏就精彩了，也就不会浪费德普了。。
9	1292702	6	Johnny Johnny Johnny 你有一萬個機會殺了那男的 可是你卻在電影最後才出手....如果不是因為johnny我才不會看這片子
10	1292702	9	看了一个影评突然想起之前在CHC看的这片了、话说95年那会德普好嫩啊=。=这片纯就是看男猪、故事一般、漏洞太多、狗血情节
11	1947265	6	看来只有我讨厌这种画风~想评负分可不可以啊~
12	1947265	7	看似独特前卫的画风今天看已经有些过时了，内容喧哗得让人很难集中注意力。。已经可以和这类动画告别了
13	1947265	8	帅爆了，帅爆了，帅爆了，帅爆了，帅爆了，帅爆了，帅爆了，帅爆了，帅爆了，爆了。探究动画极致的作品。
14	1947265	10	看这部动画的时候我想起两部作品，一部是昆丁的Kill Bill，另一部是天生杀人狂。论变态，此片不及Natural Born Killers；论夸张血腥，真人电影则无法媲美动画。借一位网友的话说，“忍不住借用一句台词：‘无论再看见什么我也不会吃惊了’”在令人目不暇接的震惊和令人恶心之间，尺度掌握的算是不错
